Song,Nation,Year,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh,bpm
Chocolate - Everybody Salsa (Extended Version),Germany,1991,0.03436469482210009,0.9068247836149461,-11.100378671102808,-26.32634018869334,15.225961517590534,0.016954006363899335,0.9579702305993122,-21.27525604798745,-33.03295255018568,11.757696502198232,0.021904107607752386,0.8720282087960598,-16.172580061807125,-31.4807736610144,15.308193599207279,0.014581645935782471,0.7768353822156505,-19.991037810150083,-38.938613847229654,18.94757603707957,123.046875
Chocolate - Everybody Salsa (Ibiza Mix),Germany,1991,0.061560787424286126,0.7341905287614563,-6.084071144523481,-20.621136569979296,14.537065425455818,0.032091145082203634,0.9118257134434637,-16.46310339237761,-27.833339617578186,11.370236225200575,0.04263159792327661,0.5831730437563948,-10.008923849410253,-25.36697764847661,15.358053799066358,0.02308552062301702,0.6264469944591105,-15.378627517357653,-33.899935835780646,18.52130831842299,123.046875
Chocolate - La Ola (Barcelona Mix),Germany,1991,0.05558153078202995,0.6410624822505511,-5.759887156400162,-20.40998715586484,14.650099999464677,0.025806572379367725,0.7350079270789661,-16.597849972675277,-27.782689516054678,11.184839543379406,0.03783943427620633,0.567737463494433,-9.440736717003299,-24.610126331152006,15.16938961414871,0.01991930116472546,0.521770552676209,-15.803492899742619,-33.25291895611302,17.449426056370402,123.046875
Chocolate - La Ola II (Teckno Age Mix),Germany,1991,0.03588050314465409,0.8270617496927665,-10.707396085648803,-25.94282035058076,15.235424264931961,0.018462843429328038,0.8971206309189813,-21.67336398297829,-33.24117257987812,11.567808596899829,0.021277308838133068,0.8222211101280338,-15.637015586613547,-31.5036486529441,15.866633066330557,0.015172128434293284,0.6723371071835983,-18.881647447015588,-37.45511195325245,18.573464506236864,123.046875
Chocolate - Megamix '92,Germany,1992,0.045036975464343036,0.8071117481322702,-8.445922182129557,-24.17970123179156,15.733779049662006,0.020783077275854163,0.9584497305482216,-18.729792647543704,-30.47645156319489,11.746658915651187,0.027391223343269894,0.6917568841047617,-13.578525375435271,-29.027856631572437,15.449331256137167,0.019791188947489113,0.7385702832053782,-17.048818929117044,-35.62980926800893,18.58099033889188,123.046875
Chocolate - Ritmo De La Noche (Brazil Mix),Germany,1990,0.03522280570142536,0.5515287731281123,-10.857264686346483,-27.26179035558119,16.40452566923471,0.012446361590397598,0.11324108826812736,-24.654140479100146,-36.98122250601408,12.327082026913933,0.02127981995498875,0.6661002832972142,-15.803336130114207,-31.444419392868483,15.641083262754277,0.021252438109527382,0.7983576815636817,-16.38044200854279,-34.359299075287105,17.97885706674431,123.046875
Chocolate - Ritmo De La Noche (New Age House-Mix),Germany,1990,0.03743798912322589,0.5209052668134879,-9.329373602654128,-25.008583354019983,15.679209751365853,0.01539925719591458,0.5192229939821956,-19.586774425894433,-30.939226674996853,11.352452249102422,0.025365101472343814,0.3402463443763691,-13.112799465449198,-28.178380163439492,15.065580697990292,0.0170891364902507,0.660084568827071,-17.691278881806184,-36.03441594148301,18.343137059676828,123.046875
Chocolate - Satin Sheets & Silver Guns,Germany,1993,0.03326272015655577,0.8915233874027738,-10.638534401846837,-26.494926835125767,15.856392433278932,0.012294520547945208,0.9824538767541796,-21.476589521625986,-32.92615024357645,11.449560721950464,0.02346086105675147,0.9021963180189634,-14.568609220865513,-29.889105483734863,15.32049626286935,0.014745107632093933,0.820603478512152,-19.38163308147817,-38.172706454303515,18.79107337282534,128.0
Chocolate - Shine On (Album Version),Germany,1991,0.024497428204029146,0.9435150265355843,-14.204851847023647,-29.57081535074015,15.365963503716506,0.012097621088726963,0.965487582014016,-23.83379831288906,-36.18842057669661,12.35462226380755,0.016063009001285898,0.9247338037457183,-18.508379013470527,-33.62978270576999,15.121403692299468,0.010577582511787397,0.9240661287323663,-25.592459639572553,-44.363020748626546,18.77056110905399,94.0
Chocolate Feat. Weather Girls - It's Raining Men,Germany,1993,0.053499850768542016,0.721522147686154,-6.24087561430816,-21.291861870333857,15.050986256025697,0.02742911505745411,0.7943668783015481,-14.378993398033831,-25.53468127084575,11.155687872811912,0.032353380092523504,0.7531038740937768,-11.59940000104794,-26.959308964528944,15.359908963480997,0.020679003133860622,0.24779085041165477,-15.1916566917818,-33.050629459023995,17.858972767242193,132.51201923076925
Chocolate Feat. Weather Girls - It's Raining Men (Piano Mix),Germany,1993,0.059123993095512084,0.745034991755401,-4.84139371351061,-20.14818806256372,15.306794349053108,0.026602056962025316,0.9240003309496885,-15.489214822575237,-26.571400539703923,11.082185717128683,0.03232163406214039,0.7586074810556961,-11.171301734700965,-26.31324215243001,15.141940417729046,0.0280099252013809,0.46750700840046,-11.806268720738096,-29.63030699798447,17.82403827724637,132.51201923076928
Chris Dis - Rotary Organ,Germany,1994,0.02778404643882077,0.872631948099587,-18.13341916346527,-37.10378212958916,18.97036296612389,0.014956952778502482,0.8423083345344065,-30.64703888937433,-45.03774402828058,14.390705138906242,0.016497521523610753,0.8029588466175651,-25.582365808429845,-45.91176858012856,20.329402771698714,0.012650665275241325,0.8343036141142778,-29.255524066399225,-54.0812732917122,24.82574922531298,129.0
Christoph De Babalon - Babylon 90210,Germany,1994,0.08770780369183152,0.943349280369458,-1.207111861350896,-14.171084827866093,12.963972966515195,0.05160716259533547,0.9984639125585213,-6.124407933137118,-17.55472342915069,11.430315496013574,0.06551840389079253,0.8940850279563217,-3.8444977884075477,-18.352885975750958,14.508388187343408,0.025228805128771972,0.8489742459876879,-13.588679767717895,-30.92351658424734,17.334836816529446,175.1853813559322
Christoph De Babalon - I Own Death,Germany,1994,0.08083818770226538,0.9428226381924046,-2.084225997036345,-15.071655183228422,12.98742918619208,0.04595900755124056,0.9995641982408034,-8.48834783978043,-19.305470325668818,10.81712248588839,0.06359007551240563,0.9082886868532668,-4.273504998004069,-19.140989645607107,14.867484647603039,0.022248112189859764,0.8491120096906463,-15.81386940129269,-34.47833760915404,18.66446820786135,184.0
