Song,Nation,Year,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
Reese - The Heavens (Spiritual Mix),USA,1989,0.024272706208436055,0.1782577962615265,4.362798477162935,10.712807947113053,9.649056453053422,0.01819047570276042,0.185643228715789,8.70110736919974,13.020416151423957,9.190663018158139,0.019948125913849687,0.18780642816771645,5.170309040309307,11.06312414304878,10.057835331351042,0.011100361836151335,0.2363130530159727,8.196396949494504,12.74768257117734,10.76290726025887
Reese - You're mine,USA,1989,0.02145338677127419,0.13818157993078672,5.263273519578833,11.534240995350002,9.708557201602607,0.016133871311729966,0.2563796412063972,9.636562668233195,14.232486736427058,9.342639385870479,0.014678950117799046,0.10765785875913429,7.201002226816458,12.703500491369438,10.48514757124266,0.01215395499174045,0.05946723387953133,6.111329524277089,11.888382882337643,10.321991168189786
Reese - You're Mine (Bad Boy Bill Radio Mix),USA,1989,0.02355230150594171,0.11430030748108277,5.826744653195129,11.658323262441087,9.948521944947029,0.01483426061119431,0.13104148818158776,9.235544908823517,13.107550394837617,9.368902389550547,0.01591288427037301,0.17002676786102677,7.857557530799139,13.065070268181538,10.472911019065487,0.013595736943949608,0.11954605885785564,6.098765320743436,11.630821838255608,10.139192906311981
Reese - You're Mine (Carl 'Psyche' Craig Mix),USA,1989,0.018456931684857514,0.1298346617778877,4.949679019814958,11.318016369840528,9.75107374370876,0.012650270966848075,0.08442902097224485,8.16847924285571,12.71680024076299,9.341978041515661,0.01234400424189306,0.12895762401518288,6.29256180029881,11.67825035824806,10.095520910264291,0.01015753027399465,0.16280157880270557,5.409948401919971,11.52227521386787,10.05486846249096
Reese - You're Mine (Def Mix),USA,1989,0.02164641758440736,0.1085707687615999,5.3975490141976525,11.740459649397836,9.863079339228406,0.016714972469798896,0.14486029714748067,9.492964670506742,13.786839357554049,9.51413482867665,0.016370060117896854,0.1814169441612984,6.9079211487778736,12.15349535450156,10.352335573204122,0.008532403844918702,0.20017383916616813,6.907544210471517,12.139486222186886,10.263712236640675
Reese - You're mine (Extended mix),USA,1989,0.01736454096453683,0.13737087769586576,5.955968209916566,11.88015279470824,9.779816684577423,0.011583149068059932,0.3096279501851379,10.966861161059947,15.257390581360024,9.39512103320493,0.011148925167162618,0.12275986020497756,7.37743830439904,13.02182832541814,10.841080956272528,0.008905706072208194,0.06251630760708064,6.79610980409305,11.943954874891796,9.93229952407057
Reese - You're Mine (Hardcore Hip House Mix),USA,1989,0.025643071082831686,0.08169124652534782,4.969083358472008,11.338674303741369,9.745366775704667,0.020721480812495946,0.17925360052197467,9.088309450915883,13.26821742012147,9.192963994063051,0.022083056385013233,0.08939251985922961,6.962087283592263,12.298424661181812,10.336949842490343,0.01530245855408694,0.10516717694457568,5.666116670041533,11.42594248174865,10.266533178557511
Reese - You're Mine (Red Zone Mix),USA,1989,0.015620815305854439,0.08877019377873764,5.081734219077723,11.387013080581841,9.620832373540262,0.012297999188440226,0.06573976907620496,8.273382483587119,12.772916234748799,9.152860276172106,0.011800998595792379,0.16170101676609513,7.286870373052653,12.286191893723052,10.36202220542696,0.006693866605630671,0.227083947208116,6.480081208883834,11.374951341331412,9.757048401275107
Reese - You're Mine (Shake 'Em Up Groove Mix),USA,1989,0.023276079288056632,0.11959740261876589,5.8101865816007985,11.462955887670363,9.92922655346155,0.015422777090683031,0.19975968554608375,8.645144206151604,12.963407488063185,9.753239448259638,0.015266410776467738,0.1541441470620106,7.319918347326145,12.488516517030265,10.36429985537121,0.011607563157879077,0.15380793476623392,6.531602151734435,11.826750417941607,10.51038587892552
Reese - You're Mine (Shake's Bonus Club Dub),USA,1989,0.02097026625484222,0.08271729718991726,4.739636823447071,10.972105094587514,9.963392623101203,0.013641885394077279,0.11459687540819231,8.355444340270438,12.717010436062582,9.675811472990436,0.014129758464691219,0.11396017213271982,5.565492170390822,10.910020659768136,9.728743799810905,0.010338742232124004,0.12920889395627586,5.172894472303528,11.141791193635408,10.579647350895046
Reese - You're Mine (Techno Hip Mix),USA,1989,0.02023334015186273,0.1272683862097127,5.709033849525161,11.806119955562373,10.026643948029951,0.014150949067469736,0.16145280321169939,8.794146730506442,13.15811944637755,9.674813193056742,0.01467658462341465,0.19370731056457158,6.672809083622548,11.803442833371783,10.039656926799926,0.008644601794903109,0.1644413959524335,5.83577205293668,11.361348376514254,10.213288143617934
Reggie & The Invisible People - On The Top (1.21 Gigawatts),USA,1986,0.0167327585255068,0.30955830813887897,6.315134039242549,11.727265862216262,10.04765908405866,0.010955907828269322,0.40448773649769987,9.536373711578397,13.319151073703807,9.648735442626384,0.011734565060717012,0.2804670621739721,6.4447434550522535,12.092117857632168,10.185299931974084,0.006564154281219081,0.2382516555309438,7.520270133090662,12.015279789209487,10.133496406879807
Reggie Hall - House Of Jazz,USA,1993,0.017255698010035268,0.2279029903800335,8.912579118687153,14.011630881762642,9.860562662565085,0.016624170615792577,0.34981454300766796,12.880844830542074,17.04064084768191,9.418055896550568,0.010210819196643158,0.12706184843489515,10.709279847639891,15.226430511976984,10.572041275942636,0.00224506030396462,0.11103273204327922,9.12056086080262,14.086077005228251,10.453224643474092
Reggie Hall - I Can't Take No More,USA,1993,0.025831399166905945,0.03538560702174757,10.340421789821876,14.541467334905645,9.699083347952895,0.033126004086260846,0.2789031272684134,13.815411874060882,17.06420075572009,9.433342419060953,0.019914564969238206,0.0300001701262117,10.50006414622161,14.327935936480102,10.097756270374711,0.013151145366463102,0.058206634426443526,10.74305050497759,14.823677876662774,10.492975654936096
