Song,Nation,Year,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh,bpm
DJ Pierre - Time & Time Again (New Hip House Mix),USA,1990,0.035,0.918364918345102,-8.953451526528012,-22.17478952699856,11.81398693434826,0.0225,0.9665521600207788,-13.628685387861744,-24.54503096288815,8.971752419213072,0.015,0.8437386224127772,-16.49241213875411,-32.027376595767656,14.14727776308229,0.01,0.7116467985351318,-20.346245542658497,-39.35493167474298,17.755414699961126,126.04801829268293
DJ Pierre - To Tha Muzik,USA,1993,0.0375,0.9717203855969312,-8.611398724096581,-21.23498936637543,11.757169545381103,0.025,0.9959338377320286,-12.300957685468482,-22.4091807507989,8.308340809464664,0.015,0.9117918252320178,-16.438680069550568,-32.68398731638966,15.382746540583824,0.01,0.917561089033692,-21.06163530389673,-39.94503132496571,16.99712023558712,123.046875
DJ Pierre - War Drums (Call To Arms Mix),USA,1994,0.03,0.9691984386063336,-10.368264481543823,-23.615903361529533,12.238365938553745,0.015,0.9617820037080758,-16.54735810858904,-29.426292063534483,9.491555833004409,0.015,0.9877249516883768,-16.705595821858072,-31.445758444938225,13.18179304032995,0.01,0.9882960041538628,-22.20092718375546,-40.06010616354807,16.656553113877322,126.04801829268293
DJ Pierre - War Drums (The Battle Mix),USA,1994,0.025,0.9618722841741584,-12.06917527187834,-25.187500050044687,12.573117999411036,0.015,0.9564641154249892,-18.116403722206424,-29.724958574206333,9.47460050315777,0.015,0.9822245329890776,-16.793021817960884,-32.72735581516896,13.826200188609072,0.01,0.994536492045812,-23.87636480755569,-42.984584112138535,17.699195012045386,126.04801829268293
DJ Pierre - Wonderful (Wild Pitch Mix),USA,1994,0.0325,0.9534605470558206,-9.808619253539169,-21.70427163096415,11.605680640535718,0.0225,0.9572985562854612,-13.81609781635165,-23.1020645553134,8.86426137932019,0.0175,0.9723375298701972,-15.903538320532478,-30.67744570392077,13.894043864034,0.01,0.9169236131803628,-22.46616821796096,-42.91824518194624,17.75951359963407,126.0
DJ Pierre feat. LaVette - I Might Be Leavin' U (Mad House Mix),USA,1991,0.03,0.9018369862294524,-10.287311073349958,-24.04853649272959,12.944713787383591,0.0175,0.986743618644611,-16.005598169574043,-26.09617987989166,8.873056994289566,0.015,0.8359419310720558,-16.738169416102437,-31.398525626472555,13.977930701600078,0.01,0.46320668028867246,-21.956995581651757,-39.41728780546173,16.926051159186272,123.046875
DJ Pierre feat. LaVette - I Might Be Leavin' U (N.Y. Club Mix),USA,1991,0.0725,0.8274977081097074,-2.42224192648092,-16.000632247293233,12.494512373031144,0.035,0.9977773191625432,-9.02394381639769,-19.89918849210943,8.5638932340367,0.035,0.8246755914935222,-9.293608278761539,-23.247871451508413,12.792749250455564,0.0325,0.19835254089518817,-10.018176003680153,-28.15435680164544,16.23658604309292,123.046875
DJ Pierre feat. LaVette - I Might Be Leavin' U (Radio Mix),USA,1991,0.065,0.8090450408149408,-3.420367207697113,-18.24611124679071,13.619517316671622,0.025,0.9901225861311188,-12.379009884158592,-25.57137038074191,9.480651043946423,0.0375,0.8077154659381724,-8.31935492895383,-22.16400403274632,12.697566102357598,0.0275,0.4457550540085426,-11.699030370223229,-29.13236457464393,16.190807087080422,123.046875
DJ Pierre feat. Lavette - Muzik Set You Free (Garage Pitch Dub),USA,1994,0.0375,0.9816462630743896,-8.300650424446044,-19.1281576428852,10.11029709471344,0.0275,0.9953040588233999,-11.66301042072012,-19.258618326479713,7.46561760342166,0.015,0.9048534486559022,-17.348308615628227,-32.182902557236545,12.89737312304409,0.01,0.7856792997543425,-24.189700623933806,-41.47702172523199,16.45173676412572,123.046875
DJ Pierre feat. Lavette - Muzik Set You Free (Garage Remix),USA,1994,0.0325,0.8637872450198236,-9.900678831896164,-22.83211039321305,12.23129247490035,0.015,0.9142460992932206,-16.7627764670394,-26.157614037308512,8.211467611877715,0.0175,0.8295164278013976,-15.347595284409456,-30.670013849249536,13.981441274380115,0.0125,0.7295207873331581,-19.81180126844273,-37.42959282810029,16.35533986259408,123.046875
DJ Pierre Presents Shock Wave Encore - War Drums (Call To Arms Mix),USA,1994,0.03,0.9691522331045848,-10.385334792130159,-24.0169094899111,12.24419022554407,0.015,0.9619005201117454,-16.599369400783118,-29.879821938612643,9.513548819600874,0.015,0.9879257774396704,-16.63741551046629,-31.703021255961282,13.415596819777164,0.01,0.9881825909278497,-22.247955629246633,-40.16473018028071,16.746559467229098,126.04801829268293
DJ Pierre Presents Shock Wave Encore - War Drums (The Battle Mix),USA,1994,0.02,0.9707986892926329,-14.2807241684627,-28.26555644128727,13.458234402530945,0.01,0.9769297453857442,-23.067814092668307,-35.29427121135454,9.679808844182674,0.015,0.9697344778695959,-17.774637140624538,-34.46947715212735,14.412797523859094,0.01,0.9530280933222868,-22.86755876467862,-41.70673222160991,17.483064616834785,126.04801829268293
DJ Pierre Presents Shock Wave Encore - Wonderful (Wild Pitch Mix),USA,1994,0.0325,0.9531949214739466,-9.784872757531993,-21.59688880479151,11.526111947110607,0.0225,0.957144074301798,-13.815963223598892,-23.12714303479783,8.880529023435301,0.0175,0.9721294467454542,-15.98523873377836,-30.59343035151966,13.656794257368873,0.01,0.9170813823229826,-22.464481472813333,-42.880308133769034,17.695098643408,125.0
DJ Reckless Ron - A New Style I Relay,USA,1990,0.0275,0.8200919175503492,-11.340238235028153,-25.770816160524937,13.05990380023338,0.0125,0.9810497470437397,-19.393821672489658,-30.033078848287886,8.714168723006807,0.0125,0.829038020531012,-19.670394688194555,-35.396191319587885,14.579586106552629,0.0125,-0.24156855606336197,-19.841464423306864,-37.482857957305555,16.76895224187812,89.0
